6419,2993,9895
6525,2982,9967
6498,3043,9999
6523,2830,9885
6473,2818,9862
6677,2972,9934
6631,2941,9870
6517,2882,9967
6459,3170,10094
6601,3177,10066
6487,2985,9952
6505,2946,9966
6505,3018,9937
6543,2772,9804
6556,3151,10036
6461,2954,9908
6419,2887,9831
6532,2892,9903
6423,3176,10094
6631,2821,9854
6645,2988,9985
6492,3028,9972
6512,3173,10075
6531,3022,10008
6486,3025,9952
6656,2872,9856
6499,2949,9957
6482,2886,9923
6341,2894,9782
6444,3163,10131
6527,3074,10041
6569,2945,9899
6476,3040,9984
6473,3098,10018
6523,3054,9950
6392,3224,10181
6616,2935,9921
6568,3062,9991
6370,2989,9981
6496,2889,9824
6443,3114,10014
6505,3080,10053
6562,3079,10004
6425,3034,10017
6565,3113,10044
6669,3159,10068
6487,2836,9785
6597,3095,10014
6581,3066,9985
6549,2967,9975
6579,2958,10005
6471,3104,9973
6528,3020,10008
6683,3059,9977
6548,3054,9960
6597,2946,9916
6448,3051,9967
6495,3075,10021
6588,2975,9976
6422,3157,10065
6519,3161,10099
6532,2793,9770
6516,2849,9859
6473,3027,9974
6450,3059,9953
6494,3058,9990
6404,3151,10091
6566,3085,9992
6515,3125,10008
6542,3036,9968
6508,3139,10080
6554,2890,9864
6416,2921,9861
6627,3000,9932
6422,3145,9947
6670,3198,10115
6500,3162,10056
6541,2998,9915
6515,2946,9879
6549,3183,10077
6458,3082,10024
6604,2958,9959
6650,3106,10042
6519,3049,9930
6448,3047,9942
6390,2976,9995
6466,3085,9987
6496,2990,9924
6581,3278,10175
6495,2961,9855
6443,3032,9999
6621,3038,9934
6576,2912,9856
6547,2972,9925
6413,3032,9913
6450,3020,9982
6551,3122,10011
6437,2954,9904
6594,2839,9795
6535,3145,10097
,,
6518.12,3021.86,9967.61
