56,2,7451
48,2,7372
38,3,7462
43,1,7318
42,2,7424
38,1,7469
62,1,7458
48,5,7485
58,1,7378
49,2,7461
48,1,7401
39,1,7466
48,4,7437
54,4,7463
41,2,7446
47,3,7484
52,1,7418
43,3,7391
47,3,7476
49,1,7431
49,1,7433
67,2,7391
57,2,7459
42,4,7411
50,2,7444
52,2,7424
48,3,7367
51,5,7463
47,2,7420
43,1,7483
59,4,7440
47,2,7489
46,4,7448
48,5,7410
40,3,7393
52,0,7425
57,3,7475
41,4,7435
34,1,7412
54,4,7392
50,3,7491
47,2,7392
35,5,7413
39,0,7438
47,0,7457
38,3,7506
54,3,7408
42,3,7422
59,3,7448
45,2,7462
45,2,7473
43,4,7448
58,2,7524
47,3,7489
43,3,7479
47,1,7453
59,3,7414
47,1,7389
43,1,7419
55,1,7500
47,2,7439
50,2,7489
48,3,7379
56,1,7483
51,2,7429
51,0,7516
49,2,7453
33,0,7444
40,0,7478
50,0,7396
44,2,7448
42,5,7442
48,0,7422
68,3,7440
60,2,7401
40,0,7354
53,3,7395
56,0,7362
50,3,7401
45,3,7492
38,1,7395
51,0,7447
42,0,7441
49,2,7374
51,1,7430
61,2,7473
39,6,7426
56,0,7383
47,0,7415
49,3,7494
48,2,7452
44,0,7426
41,1,7472
55,1,7388
41,4,7469
40,1,7439
52,1,7329
32,2,7429
46,1,7422
44,1,7372
,,
47.84,2.04,7434.69
