23,59,7481
28,82,7489
28,51,7424
25,69,7495
18,80,7517
19,70,7506
26,80,7578
20,50,7434
23,100,7507
34,97,7497
23,60,7447
39,65,7463
24,89,7539
28,90,7542
31,73,7491
21,78,7512
22,99,7477
22,87,7539
22,77,7496
28,70,7441
23,76,7539
21,85,7515
23,98,7552
18,76,7478
32,58,7412
23,76,7481
13,78,7513
24,71,7477
14,82,7563
18,75,7537
23,60,7451
25,68,7500
25,62,7565
27,89,7555
30,76,7474
28,89,7545
27,89,7449
22,93,7497
22,77,7468
21,66,7498
17,88,7512
15,64,7477
21,64,7477
20,71,7506
26,96,7604
22,68,7483
27,78,7532
26,96,7514
21,85,7530
26,88,7595
22,91,7589
28,79,7514
15,90,7520
30,67,7494
26,78,7466
16,120,7576
28,80,7512
25,64,7441
23,78,7568
42,87,7527
22,110,7562
28,61,7456
20,83,7428
23,79,7531
22,67,7506
31,68,7415
21,69,7495
24,70,7517
26,57,7441
24,77,7502
22,64,7556
25,54,7537
11,59,7507
21,71,7461
24,78,7476
24,81,7456
22,79,7494
35,76,7442
25,78,7447
16,76,7474
33,80,7563
15,78,7493
21,86,7477
17,68,7449
27,99,7473
19,50,7444
26,109,7589
29,50,7435
31,63,7450
22,55,7505
26,94,7544
26,79,7491
28,86,7580
33,85,7509
23,66,7502
28,87,7563
16,105,7613
23,111,7501
16,82,7548
22,74,7491
,,
23.86,77.66,7503.04
