305,82,7503
309,64,7459
261,92,7545
293,76,7489
288,89,7512
291,70,7413
291,77,7480
282,58,7522
279,96,7561
281,78,7444
261,80,7574
311,88,7511
284,105,7541
275,64,7469
312,91,7514
285,88,7453
270,85,7477
294,99,7562
247,90,7586
272,96,7573
272,79,7469
306,93,7562
287,80,7506
275,63,7485
305,86,7546
284,64,7519
283,86,7453
296,58,7434
284,83,7532
265,68,7532
281,86,7552
306,85,7474
296,79,7453
274,72,7502
284,101,7533
295,89,7426
268,75,7538
264,72,7501
265,117,7495
281,91,7543
296,77,7481
260,80,7557
288,85,7535
253,99,7556
294,70,7489
289,109,7538
273,78,7456
264,67,7492
282,80,7514
268,122,7549
274,68,7498
284,84,7554
271,107,7519
300,83,7543
280,71,7522
311,95,7532
267,78,7486
247,88,7534
283,82,7465
277,71,7484
294,51,7478
280,104,7574
272,80,7537
270,70,7504
322,88,7458
295,58,7503
284,78,7533
286,78,7555
287,68,7511
281,81,7512
286,65,7503
255,85,7484
254,84,7529
306,88,7546
284,76,7505
285,89,7495
270,80,7541
289,82,7499
268,81,7529
281,88,7517
306,99,7558
284,68,7533
278,65,7487
264,72,7521
285,84,7499
276,64,7450
293,80,7526
288,88,7478
277,81,7539
279,77,7490
282,65,7502
287,83,7492
307,133,7527
305,69,7518
250,83,7467
266,82,7571
278,84,7441
275,69,7445
291,92,7547
280,89,7550
,,
282.23,81.9,7510.01
