6707,3136,10070
6511,3068,10006
6595,2994,9954
6487,2988,9947
6526,2972,9912
6675,3038,10000
6711,2990,9916
6554,2981,9921
6560,3066,10001
6372,3070,9946
6579,3106,10068
6476,3038,9943
6416,2903,9827
6532,3112,10025
6422,3105,10063
6691,3027,9958
6551,2892,9917
6589,3067,9950
6501,3008,9966
6639,2983,9950
6555,3229,10157
6539,3128,10069
6444,3141,10022
6566,2934,9911
6647,3076,9940
6535,2983,9942
6479,3228,10181
6472,3225,10166
6463,2973,9906
6364,3172,10069
6538,3078,9959
6380,3109,10009
6478,3027,10007
6474,2907,9931
6464,2905,9911
6472,3051,9986
6591,2875,9863
6629,3221,10140
6522,3051,9980
6459,2836,9808
6603,3005,9936
6545,2952,9931
6463,2965,9953
6412,2683,9763
6569,2935,9893
6414,3009,9946
6524,2988,9968
6550,3013,9901
6621,2930,9936
6508,3036,9979
6584,2932,9917
6564,2947,9905
6414,3084,9989
6514,3287,10117
6405,3035,9946
6382,3106,9985
6568,2989,9958
6562,3067,9977
6584,2896,9909
6532,2978,9914
6509,2968,9909
6470,3025,10001
6401,2965,9978
6521,2918,9901
6483,3065,10021
6503,3009,9931
6383,3051,9964
6462,2872,9863
6453,3096,10046
6533,3001,9973
6596,3127,10032
6708,2989,9947
6352,3173,10061
6537,3001,9971
6416,3104,10032
6471,3005,9965
6381,3050,9955
6436,2923,9866
6721,3039,9988
6575,3071,9956
6457,3106,9943
6730,3096,10027
6439,3148,10062
6575,3002,9886
6591,3170,10119
6459,3093,10070
6529,2949,9886
6650,3012,9984
6432,3184,10106
6602,3006,9948
6502,2862,9875
6627,3159,10062
6592,3032,10008
6596,3037,9965
6530,3108,10041
6500,3005,9984
6451,3000,9932
6476,3026,9979
6403,3032,9951
6491,2987,9933
,,
6520.26,3029.96,9972.41
